CE;AC;RO;AE;AC-CE;AE-RO;Learning_Style
30;32;28;31;2;3;Diverging
30;33;29;34;3;5;Diverging
24;30;42;29;6;-13;Assimilating
28;24;30;31;-4;1;Accomodating
28;31;28;28;3;0;Balanced
28;29;32;31;1;-1;Assimilating
31;29;32;22;-2;-10;Converging
37;29;33;27;-8;-6;Converging
34;31;25;33;-3;8;Accomodating
27;25;32;29;-2;-3;Converging
29;31;28;34;2;6;Diverging
31;30;27;34;-1;7;Accomodating
35;33;26;24;-2;-2;Converging
26;34;28;27;8;-1;Assimilating
25;34;31;29;9;-2;Assimilating
26;38;33;28;12;-5;Assimilating
30;21;31;33;-9;2;Accomodating
27;29;30;37;2;7;Diverging
28;27;29;32;-1;3;Accomodating
28;35;32;30;7;-2;Assimilating
26;31;24;25;5;1;Diverging
30;29;33;30;-1;-3;Converging
28;27;30;32;-1;2;Accomodating
31;30;31;33;-1;2;Accomodating
31;34;21;28;3;7;Diverging
30;27;27;27;-3;0;Balanced
29;28;26;31;-1;5;Accomodating
28;35;35;27;7;-8;Assimilating
28;35;33;36;7;3;Diverging
34;33;30;35;-1;5;Accomodating
33;29;26;34;-4;8;Accomodating
33;26;30;37;-7;7;Accomodating
33;27;32;30;-6;-2;Converging
31;27;30;27;-4;-3;Converging
20;28;32;30;8;-2;Assimilating
25;28;32;26;3;-6;Assimilating
31;26;29;30;-5;1;Accomodating
25;30;29;29;5;0;Balanced
30;26;24;31;-4;7;Accomodating
33;39;31;34;6;3;Diverging
25;32;30;32;7;2;Diverging
30;17;25;30;-13;5;Accomodating
28;28;25;26;0;1;Converging
31;26;31;30;-5;-1;Converging
28;32;31;34;4;3;Diverging
29;32;23;23;3;0;Balanced
33;32;32;29;-1;-3;Converging
32;30;24;33;-2;9;Accomodating
34;25;27;30;-9;3;Accomodating
34;28;28;32;-6;4;Accomodating
34;26;25;38;-8;13;Accomodating
31;22;21;32;-9;11;Accomodating
30;37;35;32;7;-3;Assimilating
27;28;23;34;1;11;Diverging
34;36;26;24;2;-2;Assimilating
33;26;32;28;-7;-4;Converging
32;31;26;29;-1;3;Accomodating
30;34;36;33;4;-3;Assimilating
33;21;31;28;-12;-3;Converging
29;30;31;30;1;-1;Assimilating
26;30;37;30;4;-7;Assimilating
22;33;21;24;11;3;Diverging
32;24;32;28;-8;-4;Converging
33;29;27;34;-4;7;Accomodating
32;37;29;30;5;1;Diverging
35;24;37;27;-11;-10;Converging
26;34;31;26;8;-5;Assimilating
26;27;27;31;1;4;Diverging
30;25;25;25;-5;0;Balanced
27;24;24;26;-3;2;Accomodating
30;28;30;30;-2;0;Balanced
28;29;38;28;1;-10;Assimilating
29;34;31;29;5;-2;Assimilating
33;26;28;33;-7;5;Accomodating
27;29;27;28;2;1;Diverging
35;33;36;31;-2;-5;Converging
34;33;35;36;-1;1;Accomodating
29;28;31;31;-1;0;Diverging
28;26;25;31;-2;6;Accomodating
21;28;32;29;7;-3;Assimilating
23;29;36;30;6;-6;Assimilating
32;22;29;23;-10;-6;Converging
23;26;29;33;3;4;Diverging
32;30;35;33;-2;-2;Converging
31;20;32;28;-11;-4;Converging
35;28;32;31;-7;-1;Converging
29;33;28;36;4;8;Diverging
36;28;27;30;-8;3;Accomodating
32;28;33;38;-4;5;Accomodating
28;25;28;35;-3;7;Accomodating
28;32;33;26;4;-7;Assimilating
31;25;31;31;-6;0;Balanced
33;28;32;31;-5;-1;Converging
32;30;22;24;-2;2;Accomodating
34;25;28;24;-9;-4;Converging
35;28;23;30;-7;7;Accomodating
31;31;31;35;0;4;Balanced
33;33;24;29;0;5;Balanced
33;32;26;27;-1;1;Accomodating
33;30;31;27;-3;-4;Converging
34;34;28;22;0;-6;Balanced
29;24;31;37;-5;6;Accomodating
31;31;33;33;0;0;Balanced
31;27;31;31;-4;0;Balanced
30;30;36;30;0;-6;Balanced
30;32;28;30;2;2;Diverging
29;28;21;23;-1;2;Accomodating
29;36;31;37;7;6;Diverging
32;32;32;31;0;-1;Balanced
35;30;33;34;-5;1;Accomodating
30;35;23;21;5;-2;Assimilating
31;33;31;32;2;1;Diverging
30;27;28;27;-3;-1;Converging
25;31;32;26;6;-6;Assimilating
29;25;29;30;-4;1;Accomodating
29;29;28;32;0;4;Balanced
31;35;33;26;4;-7;Assimilating
21;29;30;28;8;-2;Assimilating
31;23;32;27;-8;-5;Converging
33;34;25;23;1;-2;Assimilating
28;34;29;23;6;-6;Assimilating
28;31;26;31;3;5;Diverging
31;32;34;30;1;-4;Assimilating
32;32;31;27;0;-4;Balanced
30;31;33;31;1;-2;Assimilating
30;27;38;31;-3;-7;Converging
32;26;33;30;-6;-3;Converging
33;33;28;25;0;-3;Balanced
29;26;23;31;-3;8;Accomodating
29;34;35;24;5;-11;Assimilating
31;29;33;34;-2;1;Accomodating
33;31;29;23;-2;-6;Converging
33;36;29;36;3;7;Diverging
35;33;31;30;-2;-1;Converging
33;24;27;28;-9;1;Accomodating
29;30;25;24;1;-1;Assimilating
25;26;32;25;1;-7;Assimilating
28;34;33;33;6;0;Balanced
27;30;31;23;3;-8;Assimilating
33;34;35;21;1;-14;Assimilating
28;35;29;28;7;-1;Assimilating
26;34;25;31;8;6;Diverging
37;31;33;28;-6;-5;Converging
24;30;33;31;6;-2;Assimilating
32;37;35;30;5;-5;Assimilating
33;31;33;33;-2;0;Balanced
29;27;25;29;-2;4;Assimilating
27;28;33;39;1;6;Accomodating
22;26;28;28;4;0;Balanced
30;34;29;37;4;8;Diverging
33;38;33;26;5;-7;Assimilating
32;33;24;32;1;8;Diverging
28;33;27;24;5;-3;Accomodating
